ID,Year,Name,Institution,Website,Picture
1,2019,Read Montague,Virginia Tech Carilion Research Institute,http://labs.vtc.vt.edu/cpu/,Montague.jpg
2,2019,Carolyn Parkinson,University of California Los Angeles,http://csnlab.org,Parkinson.jpg
3,2019,Rob Chavez,University of Oregon,https://csnl.uoregon.edu,Chavez.jpg
4,2019,Cendri Hutcherson,University of Toronto,https://www.decisionneurolab.com/,Hutcherson.jpg
5,2019,Emmanuelle Tognoli,Florida Atlantic University,http://www.ccs.fau.edu/~tognoli,Tognoli.png
6,2019,Luke Chang,Dartmouth College,http://cosanlab.com,Chang.jpg
7,2020,Jessy Lauer,Harvard University,https://www2.rowland.harvard.edu/people/jessy-lauer,Lauer.jpg
8,2020,Mark Thornton,Dartmouth College,http://markallenthornton.com/,Thornton.jpg
9,2020,Tessa Rusch,California Institute of Technology,https://scholar.google.com/citations?user=OzT7c-oAAAAJ&hl=de,Rusch.png
10,2020,Vincent Costa,Oregon Health & Science University,https://www.fullcolorbrain.com/,Costa.jpg
11,2024,Leor Hackel,University of Southern California,https://www.hackellab.org,Hackel.jpg
12,2024,Eshin Jolly,Dartmouth College,https://eshinjolly.com,Jolly.jpg
13,2024,Philip Kragel,Emory University,https://www.ecco-lab.org,Kragel.jpg
